Talkers,Noise,F1,F2,F3
C4,SSN,530.18,1600.94,2695.7752499999997
C4,SSN,547.8,1475.91,2411.807758620689
C4,SSN,490.77,1750.35,2767.361573033708
C4,SSN,517.35,1622.22,2657.845670498084
C4,SSN,438.27,2032.46,2773.761139240506
C4,SSN,599.62,1437.47,2528.627391304348
C4,SSN,578.47,1811.14,2640.849814814815
C4,SSN,644.91,1749.94,2746.593684210527
C4,SSN,495.1,1651.18,2683.695821917808
C4,SSN,535.5,1464.75,2744.8575000000005
C4,SSN,577.39,1446.64,2666.8049122807024
C4,SSN,581.87,1495.36,2738.134576271187
C4,SSN,501.09,1779.43,2756.9237037037033
C4,SSN,556.22,1788.51,2725.346811594203
C4,SSN,497.1,1608.16,2590.7512582781455
C4,SSN,557.17,1758.28,2694.8560784313727
C4,SSN,589.02,1820.69,2790.2487499999997
C4,SSN,525.84,1852.74,2761.6908
C4,SSN,436.58,2012.91,2771.3925757575757
C4,SSN,551.99,1656.49,2766.858796992481
C4,SSN,528.73,1772.27,2756.5283695652174
C4,SSN,426.49,1706.08,2627.534
C4,SSN,464.99,1640.88,2598.5935087719295
C4,SSN,674.75,1336.81,2765.0879032258067
C4,SSN,550.67,1454.39,2643.2809677419355
C4,SSN,506.12,1557.4,2599.989272030651
C4,SSN,510.77,1670.74,2636.938595041322
